,name,category,subcategory,price,created_at,purchase_opportunity,description
25,Arcadia Block Print Quilt,New Arrivals,New Kids,118.0,2021-06-24 16:20:17-06:00,Yes,"With an elegant floral pattern, the Arcadia Block Print Quilt is a simple piece that layers both character and texture into bedding. The classic diamond quilting on the soft cotton adds refinement to this quilt, making it the perfect detail for a crib or children’s bed."
26,Octopus Silhouette,New Arrivals,New Kids,400.0,2022-01-20 10:56:23-07:00,Possible to order,"The Octopus Silhouette is a playful silkscreen artwork on handmade paper. Floated in a matte white frame, this octopus brings plenty of movement and energy to your wall space. In a simple, neutral palette that is exceptionally versatile, this animal silhouette is strong in contrast and imaginative in design.   
Our art pieces are made to order and cannot be canceled, returned or exchanged."
27,Oversized Chalkboard,New Arrivals,New Kids,150.0,2021-06-24 16:20:25-06:00,Yes,"Designed with attention to detail in shape and size, the Oversized Chalkboard not only brings a playful aesthetic to your child’s room, but also adds a practical outlet for creativity. We thoughtfully crafted this piece with kids in mind, knowing that every little one needs space to be imaginative — while also keeping the room parent-approved with a cohesive, effortless design."
28,Blue Nautical Flag Shadowbox,New Arrivals,New Kids,1350.0,2022-05-04 14:02:44-06:00,Possible to order,"Four nautical flags are mounted to a mat in the playful Blue Nautical Flag Shadowbox. With varying simple designs of primary colors, this art piece is eye-catching and whimsical. The pattern and texture of these flags add dimension and character to any room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
29,Zoo Cut-Outs,New Arrivals,New Kids,340.0,2021-11-11 09:49:45-07:00,Possible to order,"Clever and whimsical, the Zoo Cut-Outs is a giclee print on paper with straight-cut edges and floated on mat. Complete with plexiglass and mounted in a gray frame, this piece is composed of simple but bold linework that brings imagination to the kid’s room.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
30,Nell Sheet Set,New Arrivals,New Kids,118.0,2021-06-01 15:33:19-06:00,Yes,"In a simple, neutral palette of cream and tan, the Nell Sheet Set is crafted from cotton and is incredibly soft to the touch. Its subtle pattern brings dimension to children’s bedding, while its soft feel lends itself to dreamy nights of slumber."
31,Neutral Lines,New Arrivals,New Kids,1100.0,2022-05-04 14:02:44-06:00,Possible to order,"Hand-painted on gallery-wrapped canvas, Neutral Lines boasts both texture and contrast in a simple but impactful composition. Its blue and cream palette is versatile and filled with contrast. Mounted on mat under glass, this artwork is framed in a shadowbox for added dimension.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
32,The Swan,New Arrivals,New Kids,560.0,2021-11-11 09:49:45-07:00,Possible to order,"Mounted in a pickled white frame, The Swan is a giclee art print on paper, covered in plexiglass. This museum-quality piece features a minimal swan that is given strong contrast against a solid navy background. With its simple palette of navy and white, this storybook-like swan feels imaginative and charming, perfect for a child’s room.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
33,Pinnacle Knit Blanket,New Arrivals,New Kids,60.0,2021-05-19 15:34:15-06:00,Yes,"With delicate scallops around the entire perimeter, the Pinnacle Knit Blanket is crafted from 100% cotton for an especially soft feel that’s kid-tested and beautiful in aesthetic. Its cream palette and tight knit is simple and classic for a blanket that grows alongside your child as a timeless heirloom."
34,Horizontal Blues,New Arrivals,New Kids,1100.0,2022-05-04 14:02:44-06:00,Possible to order,"Bold and abstract, Horizontal Blues is masterfully hand-painted on gallery wrapped canvas. Mounted on a mat under the glass in its shadowbox, this simple design is sophisticated and colorful when displayed in any room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
35,Shabby Dog,New Arrivals,New Kids,110.0,2022-03-25 09:03:58-06:00,Possible to order,"Loosely sketched with charcoal, Shabby Dog is a beautiful print of the original sketch by artist Charles H. Woodbury. This historical print is filled with playful movement, and is presented in a silver, textured wood frame. Encased in clear grade-A glass, Shabby Dog is given museum-quality treatment that makes it a fun yet elevated addition to children’s rooms.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
36,Oakes Gingham Wallpaper,New Arrivals,New Kids,124.0,2022-01-12 12:55:06-07:00,Yes,"We love gingham, and the Oakes Gingham Wallpaper brings the best of this timeless pattern to your children’s room wall design. Available in two colorways, this versatile wallpaper seamlessly integrates into your existing or updated style. On unpasted, premium non-woven paper, the Oakes Gingham Wallpaper design is surface printed for an exceptionally high-quality wallpaper."
37,Yellow Nautical Flag Shadowbox,New Arrivals,New Kids,1350.0,2022-05-04 14:02:46-06:00,Possible to order,"Designed with four unique flags, this Yellow Nautical Flag Shadowbox brings color and shape to your child’s room. Mounted to mat, this piece is framed in a shadowbox with a natural wood frame for a clean, approachable finish.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
38,Vintage Embroidery Sampler,New Arrivals,New Kids,275.0,2021-11-11 09:49:45-07:00,Possible to order,"Mimicking the intentional beauty of hand-embroidered fabric, the Vintage Embroidery Sampler is an eclectic combination of patterns. Giclee printed on paper, this imaginative children’s artwork is framed in natural wood with plexiglass.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
39,Portsmouth Wallpaper,New Arrivals,New Kids,124.0,2022-01-12 12:55:05-07:00,Yes,"In a vintage-inspired nautical design, the Portsmouth Wallpaper has a charming feel that grows alongside your little ones. Sophisticated but playful, its neutral tonal palette is versatile and can be styled alongside nearly any palette. On unpasted, premium non-woven paper, the Portsmouth Wallpaper design is surface printed for an exceptionally high-quality wallpaper."
40,Aster Wallpaper,New Arrivals,New Kids,124.0,2022-01-12 12:55:06-07:00,Yes,"A rich navy, the Aster Wallpaper complements nearly any style. With subtle white dots that create a detailed and unified pattern, this printed wallpaper is a classic choice. Its design adds dimension and balance, creating a timeless feel for children’s bedrooms."
41,Birds in the Garden,New Arrivals,New Kids,775.0,2022-03-25 09:03:58-06:00,Possible to order,"White and pink daisies and small black birds are thoughtfully scattered across this pastel-covered artwork. With a mix of tan and blue, the muted hues of this piece contribute to its calming, whimsical feel. Paired with a champagne-finished wood frame, this artwork will suit any children’s room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
42,Cool Tonal Abstract,New Arrivals,New Kids,500.0,2022-05-04 14:02:44-06:00,Possible to order,"Cool Tonal Abstract plays with a pastel palette and a contemporary composition of shapes formed by broad brush strokes. An imaginative piece for any room, the blues, grays and natural browns on its refined linen surface are accented with artist-enhanced paint texture that brings the image to life. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
43,Pebble Two Tiered Mobile,New Arrivals,New Kids,95.0,2021-12-03 15:55:31-07:00,Yes,"Handmade with 100% wool, the Pebble Two-Tiered Mobile is beautifully colored in a neutral color scheme with AZO-free dyes. Its pom poms are draped across two loops, allowing them to softly yet playfully hang above baby’s crib."
44,Open Sea,New Arrivals,New Kids,300.0,2021-11-11 11:57:31-07:00,Possible to order,"Antique-inspired, Open Sea is a giclee print with a charming and adventurous feel. Mounted on a canvas-wrapped hardboard with natural linen, it boasts subtle texture that elevates and enriches your wall space. Its antique gold and black frame brings the entire piece together, bringing an added vintage touch to the artwork.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
45,Talcott Quilt,New Arrivals,New Kids,108.0,2021-05-19 15:34:17-06:00,Yes,"Designed to grow with your little ones, the Talcott Quilt is crafted from linen and cotton for an especially soft quilt in a neutral palette. Its cotton fill is held together with a cream linen front and cotton poplin back, attached with subtle crossed stitches that give subtle notes of interest to the quilt."
46,Nine Planets Diagram,New Arrivals,New Kids,560.0,2021-11-11 09:49:45-07:00,Possible to order,"﻿The Nine Planets Diagram has a really endearing vintage-inspired feel. A giclee print on canvas, this artwork is mounted on wrapped hardboard in a black wood grain frame. Its warm design is charming, bringing an inviting feel to children’s room.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
47,More Than A Little,New Arrivals,New Kids,15.0,2021-12-03 15:55:30-07:00,Yes,"Written by M.H. Clark, More Than a Little tells the story of the magic within everyone. A celebration of individuality, this story expresses one of the most important messages a child can hear — that they matter. Alongside its beautiful message, More Than a Little features charming artwork by Cecile Metzger that makes it just as lovely to style as it is to read."
48,If I Had a Little Dream,New Arrivals,New Kids,18.0,2021-12-03 15:55:30-07:00,Yes,"If I Had a Little Dream is a hopeful and beautifully poetic children’s book. Its colorful illustration is not only imaginative but acts as an incredible piece of art when on display. Written by Nina Laden, the picture book emphasizes appreciation for the world we live in and highlights the joy of everyday life."
49,Patiently Waiting,New Arrivals,New Kids,180.0,2022-05-04 14:02:44-06:00,Possible to order,"Heartwarming and cozy, Patiently Waiting is an absolutely beautiful lithograph print that conveys a spirit of warmth and safety in your child’s bedroom. Mounted in a natural wood frame, this playful children’s artwork is encased in glass for a museum-quality treatment that makes it an especially charming focal point.   
Our art pieces are made to order and cannot be canceled, returned or exchanged."
50,Mila Blanket,New Arrivals,New Kids,60.0,2021-10-13 15:00:53-06:00,Yes,"The cotton stitching detail in the Mila Blanket makes this piece a soft and timeless asset to any children’s bedding. With a neutral gray color and an elegant, ruffled border, the blanket layers seamlessly, suiting a neutral palette while adding just enough visual detail."
51,Chinoiserie Trees,New Arrivals,New Kids,965.0,2022-05-04 14:02:44-06:00,Possible to order,"Chinoiserie Trees displays fine brushwork of a summer tree-filled garden. With blue and earthy greens, the giclee print on matte paper brings brightness anywhere it is displayed. A gold-finished frame completes the piece and contributes to its joyful aesthetic.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
52,Nell Ruffled Sheet Set,New Arrivals,New Kids,118.0,2021-06-01 15:33:19-06:00,Yes,"In a simple, neutral palette of cream and tan, the Nell Ruffled Sheet Set is crafted from cotton and is incredibly soft to the touch. Its subtle pattern and romantic ruffles bring dimension and charm to children’s bedding, while its soft feel lends itself to dreamy nights of slumber."
53,Whale Silhouette,New Arrivals,New Kids,400.0,2022-01-20 10:56:23-07:00,Possible to order,"The Whale Silhouette brings imagination to the room. Silkscreen printed on handmade paper with textural torn edges, this piece of children’s artwork is floated in a matte white frame to highlight its intentional, organic design.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
54,Home Rattan Clutch,New Arrivals,New Kids,68.0,2022-04-04 11:29:28-06:00,Yes,"A lesson in playful decor, the Home Rattan Clutch is hand-woven from rattan with a sturdy wicker handle. With an opening at the roof and door, this piece is versatile and thoughtful. Its intricate woven details add an element of refinement to an imaginative children’s room."
55,Primary Abstract,New Arrivals,New Kids,375.0,2022-03-25 09:03:58-06:00,Possible to order,"﻿With lively, abstract scribbles scattered throughout a thoughtful composition, Primary Abstract features bright spots of color on a neutral, textured background. Its energetic feel brings liveliness to child’s bedrooms, and the piece is mounted in a natural wood frame.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
56,Nell Crib Sheet,New Arrivals,New Kids,56.0,2021-06-01 15:33:18-06:00,Yes,"In a simple, neutral palette of cream and tan, the Nell Crib Sheet is crafted from cotton and is incredibly soft to the touch. Its subtle pattern brings dimension to children’s bedding, while its soft feel lends itself to dreamy nights of slumber."
57,Blue Droplets,New Arrivals,New Kids,220.0,2022-05-04 14:02:44-06:00,Possible to order,"Abstract and inspired by nature, Blue Droplets is a beautiful piece of artistry framed on linen. The subtle lines and eclectic blue brushwork are reminiscent of a window in the rain. This is a calming piece that adds a soft palette and detail to any children’s room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
58,Swan Lake Pom Pom Mobile,New Arrivals,New Kids,90.0,2021-12-03 15:55:30-07:00,Yes,"Inspired by childhood stories, the Swan Lake Pom Pom Mobile is crafted from 100% wool in a palette of muted pastels using AZO-free dyes. Featuring beautiful swans and a flower, accented with pom poms, this mobile bring whimsical imagination to the nursery."
59,Tan Meandering,New Arrivals,New Kids,220.0,2022-05-04 14:02:46-06:00,Possible to order,"Composed of fine details and subtle patterns, Tan Meandering is a tonal artwork of white against a neutral linen background. Mounted in a wood frame with a Varathane finish, this piece brings natural tones to your space in a contemporary, warm way. Encased with Grade-A clear glass, this piece gives a sense of simplicity and imagination to kids rooms.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
60,Animal Collection,New Arrivals,New Kids,740.0,2022-05-04 14:02:44-06:00,Possible to order,"Both stunning and simple, the painted wild animals are reminiscent of a picture book with muted primary colors. Animal Collection has a timeless wood frame with a natural woodgrain finish, allowing the artwork to suit any room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
61,Goodwin Wicker Lounge Chair,New Arrivals,New Outdoor,1500.0,2022-02-03 09:15:27-07:00,Yes,"Crafted from all-weather polywicker, the Goodwin Wicker Lounge Chair offers both aesthetic and stain and water resistance to outdoor lounging. Designed with broad, casual bands of woven polywicker that surround the chair, this piece is beautiful at all angles and in all weather. Complete with comfortable cushions, the Goodwin Wicker Lounge Chair makes it easy to enjoy outdoor gatherings in the soft summer light."
62,Wembley Outdoor Sofa,New Arrivals,New Outdoor,3900.0,2020-12-18 14:32:49-07:00,Yes,"Crafted from teak and finished in a washed brown hue, the smooth curves of the Wembley Outdoor Sofa create an eye-catching moment within your outdoor styling. Upholstered in a neutrally toned outdoor-friendly fabric, this effortlessly comfortable bench seat sofa brings the best of both form and function wherever it’s placed."
63,Morella Indoor / Outdoor Rug,New Arrivals,New Outdoor,150.0,2020-02-07 14:08:11-07:00,Yes,"﻿Neutral tones create the striped motif of our Bavaria Rug. Crafted on a loom for both indoor and outdoor use, this rug features a reversible design while lending durability to the high traffic areas of your home or your outdoor entertaining space. 
Due to the handmade quality of our rugs, they may vary slightly in size and/or color. Rug pattern is scaled to rug size and may vary from the images shown."
64,Golden Charcuterie Knife Set,New Arrivals,New Outdoor,28.0,2020-02-26 15:15:15-07:00,Yes,Make creating your next Charcuterie board a breeze with this golden knife set. It has everything you need steeped in effortless style. It also makes the perfect hosting or housewarming gift!
65,Woven Basket Planter,New Arrivals,New Outdoor,119.99,2021-02-10 13:56:55-07:00,Yes,"Whitewashed wicker gives the Woven Basket Planter a bright, organic feel. Its loose weave lends a casual tone to the space, and its tapered, rounded edges give the piece approachability. Style with greenery for a natural touch in your living space."
66,Jahi Rattan Drypot,New Arrivals,New Outdoor,56.0,2020-10-30 11:06:00-06:00,Yes,"Woven rattan in beige gray-hued tones come together in this Jahi Rattan Drypot. Sturdy yet endearing, this decorative pot brings a natural, earthy feel to your vignettes and can complement faux greenery with charm."
67,Berdine Wicker Outdoor Chair,New Arrivals,New Outdoor,1800.0,2019-10-23 09:56:14-06:00,Yes,"Streamlined and sophisticated with an added coastal feel, the Berdine Wicker Outdoor Chair makes the most of both function and form. Fitted on a durable, high-quality teak base, this chair makes it easy to relax with its comfortable outdoor grade cushions. Easy to mix with existing outdoor furniture, its simple silhouette will update your space with more modern, transitional design."
68,Edina Plaid Indoor / Outdoor Rug,New Arrivals,New Outdoor,104.99,2019-11-14 15:02:54-07:00,Yes,"With an ultra-durable design, the Edina Plaid Rug brings comfort to both your indoor and outdoor spaces. A wider take on the standard plaid motif, varying stripes with gray tones contrast against a dark blue background for the perfect amount of visual interest. Great for high traffic areas, this rug can be sprayed off when dirty, and it’s reversible!
Due to the handmade quality of our rugs, they may vary slightly in size and/or color. Rug pattern is scaled to rug size and may vary from the images shown."
69,Rimma Outdoor Coffee Table,New Arrivals,New Outdoor,750.0,2020-12-18 14:32:43-07:00,Yes,"The Rimma Outdoor Coffee Table is crafted from a sturdy aluminum frame, covered in all-weather wicker creating an organic look and feel. With soft rounded corners and a stunning white or black finish, this coffee table effortlessly anchors your outdoor furniture."
70,Glazed Stoneware Planter,New Arrivals,New Outdoor,40.0,2021-02-10 13:56:13-07:00,Yes,"Lively yet neutral, this Glazed Stoneware Planter pairs a dimensional ombre glazed finish with a unique knobbed detail, to create a distinctive visual presence. Fill this piece with your favorite greenery, and place around the home to add light and life to the space."
71,Porous Footed Pot,New Arrivals,New Outdoor,62.99,2021-02-10 13:56:30-07:00,Yes,"Crafted from modern earthenware, this Porous Footed Pot is naturally textured and completed with a reactive glaze that scatters warm brown across the soft gray finish. Its beautifully curved, pedestal-style form adds elegance to its organic look, creating seamless cohesion with your style. Though not 100% waterproof due to its porous nature, this pot complements either faux or surrounding greenery."
72,Sahar Outdoor Throw,New Arrivals,New Outdoor,78.0,2021-05-19 15:34:15-06:00,Yes,"In a neutral beige palette and classic striped pattern, the Sahar Outdoor Throw brings indoor comforts outdoors. Its versatility allows it to pair with nearly any outdoor furniture piece, creating an inviting feel that is comfortable and soft."
73,Elowyn Outdoor Dining Chair,New Arrivals,New Outdoor,550.0,2020-10-20 09:30:32-06:00,Yes,"Designed with high-quality teak wood and poly wicker, the Elowyn Outdoor Dining Chair is an all-weather dining piece created to be both durable and beautiful. With stunning, high-grade poly wicker caning set in windows of teak wood, this piece has an organic, coastal feel that will stand the test of time."
74,Midland Gray Indoor/Outdoor Rug,New Arrivals,New Outdoor,45.0,2021-03-15 13:20:09-06:00,Yes,"Understated and durable, the Midland Gray Indoor / Outdoor Rug has a flat woven pile that has a rich texture and is easy to maintain. Crafted from weather-resistant fibers in a simple motif, this versatile rug adds a mature touch to patios, dining spaces, and mudrooms. 
Due to the handmade quality of our rugs, they may vary slightly in size and/or color. Rug pattern is scaled to rug size and may vary from the images shown."
75,Gardening Shears,New Arrivals,New Outdoor,18.0,2019-10-30 10:42:48-06:00,Yes,"Our Gardening Shears are simple, beautiful and get the job done with ease. Whether you’re using them to trim your plants, or simply displaying them in your mudroom, (away from the kids of course), their classic shape lends a found look and feel."
76,McAlester Chair,New Arrivals,New Outdoor,650.0,2020-12-18 14:42:22-07:00,Yes,"With a versatile design crafted from modern materials, the McAlester Chair works both indoors or out. Crafted from teak and finished in either a washed brown or weathered gray, the stone colored UV resistant cushion refreshes this traditional ladderback chair."
77,Wilmington Indoor/Outdoor Rug,New Arrivals,New Outdoor,19.99,2020-10-06 12:03:02-06:00,Yes,"﻿Varied texture in the Wilmington Indoor / Outdoor Rug brings an organic, natural feel, and its gray and beige palette creates moments of light breathability. This no-pile rug is easy to clean, made on a loom with recycled polyester that is soft to the touch and perfect for outdoor or high-traffic spaces.  
Due to the handmade quality of our rugs, they may vary slightly in size and/or color. Rug pattern is scaled to rug size and may vary from the images shown."
78,Goodwin Wicker Sofa,New Arrivals,New Outdoor,3020.0,2022-02-03 09:15:27-07:00,Yes,"Crafted from all-weather polywicker, the Goodwin Wicker Sofa offers both aesthetic and stain and water resistance to outdoor lounging. Designed with broad, casual bands of woven polywicker that surround the sofa, this piece is beautiful at all angles and in all weather. Complete with comfortable cushions, the Goodwin Wicker Sofa makes it easy to enjoy outdoor gatherings in the soft summer light."
79,Somerset Bread Board,New Arrivals,New Outdoor,196.0,2018-08-16 10:26:30-06:00,Yes,"Designed by us, and made in Hungary, the Somerset Bread Boards are antique-inspired and artisan crafted.  Each is made from 19th-century European hardwood and 100% sustainable. Hand finished with mineral oil and natural knots and markings in the wood mean each is one-of-kind.
Our cutting boards are finished with organic mineral oils that are food safe and FDA approved. Without the oil, the board will be lighter. To keep your cutting boards in good condition, oil them often. Do not use harsh or abrasive products when washing this item. 
This item is artisan-crafted from reclaimed European hardwood and may have knots, cracks, and other markings that are not considered to be defective."
80,Zhara Ivory Stripe Indoor / Outdoor Rug,New Arrivals,New Outdoor,135.0,2018-10-24 09:45:48-06:00,Yes,"Warm up your space in look and personality with the Zhara Ivory Stripe Indoor/Outdoor Rug. Its playful weaving patterns are rich with tactile texture and Moroccan appeal. Not only soft underfoot, it’s made to withstand even the most highly trafficked areas.
Due to the handmade quality of our rugs, they may vary slightly in size and/or color. Rug pattern is scaled to rug size and may vary from the images shown."
